RRT:

	plan time1: 0.418812 seconds
	0.432, 0.408, -0.193
	0.500, 0.316, -0.182
	0.554, 0.216, -0.156
	0.592, 0.110, -0.113
	0.615, 0.004, -0.053
	0.622, -0.098, 0.023
	0.616, -0.191, 0.118
	0.597, -0.267, 0.227
	0.572, -0.320, 0.346
	0.544, -0.346, 0.469
	0.519, -0.345, 0.589
	0.504, -0.319, 0.697
	0.501, -0.275, 0.784
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812


	plan4time: 0.16578
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812
	0.503, -0.255, 0.811
	0.501, -0.299, 0.744
	0.511, -0.336, 0.642
	0.531, -0.349, 0.527
	0.558, -0.336, 0.404
	0.586, -0.295, 0.282
	0.608, -0.230, 0.168
	0.621, -0.144, 0.067
	0.620, -0.046, -0.019
	0.605, 0.060, -0.087
	0.574, 0.166, -0.138
	0.528, 0.268, -0.172
	0.468, 0.363, -0.190
	0.392, 0.452, -0.191
	0.309, 0.527, -0.176
	0.220, 0.588, -0.144
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127


	plan5time: 0.314222
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.194, 0.603, -0.132
	0.284, 0.545, -0.169
	0.370, 0.474, -0.189
	0.446, 0.391, -0.192
	0.512, 0.296, -0.178
	0.563, 0.195, -0.149
	0.598, 0.089, -0.102
	0.618, -0.017, -0.039
	0.622, -0.118, 0.042
	0.613, -0.207, 0.138
	0.593, -0.279, 0.250
	0.566, -0.328, 0.370
	0.538, -0.349, 0.494
	0.515, -0.342, 0.612
	0.502, -0.312, 0.716
	0.502, -0.265, 0.799
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812




